slac_date & time,slac_unix_date,slac_power,home1_date & time,home1_unix_date,home1_power,agg1_date & time,agg1_unix_date,agg1_power,s1_date & time,s1_unix_date,s1_power,s2_date & time,s2_unix_date,s2_power
2021-11-21 17:35:16,1637544916,0.000,2021-11-21 17:35:17,1637544917,0.000,2021-11-21 17:35:17,1637544917,0.000,2021-11-21 17:35:17,1637544917,0.000,2021-11-21 17:35:17,1637544917,0.000
2021-11-21 17:35:19,1637544919,0.000,2021-11-21 17:35:21,1637544921,0.000,2021-11-21 17:35:21,1637544921,0.000,2021-11-21 17:35:21,1637544921,0.000,2021-11-21 17:35:21,1637544921,0.000
2021-11-21 17:35:23,1637544923,0.000,2021-11-21 17:35:24,1637544924,0.000,2021-11-21 17:35:24,1637544924,0.000,2021-11-21 17:35:24,1637544924,0.000,2021-11-21 17:35:24,1637544924,0.000
2021-11-21 17:35:26,1637544926,0.000,2021-11-21 17:35:28,1637544928,0.000,2021-11-21 17:35:28,1637544928,0.000,2021-11-21 17:35:28,1637544928,0.000,2021-11-21 17:35:28,1637544928,0.000
2021-11-21 17:35:30,1637544930,0.000,2021-11-21 17:35:31,1637544931,0.000,2021-11-21 17:35:31,1637544931,0.000,2021-11-21 17:35:31,1637544931,0.000,2021-11-21 17:35:31,1637544931,0.000
2021-11-21 17:35:33,1637544933,0.000,2021-11-21 17:35:35,1637544935,0.000,2021-11-21 17:35:35,1637544935,0.000,2021-11-21 17:35:35,1637544935,0.000,2021-11-21 17:35:35,1637544935,0.000
2021-11-21 17:35:37,1637544937,0.000,2021-11-21 17:35:38,1637544938,0.000,2021-11-21 17:35:38,1637544938,0.000,2021-11-21 17:35:38,1637544938,0.000,2021-11-21 17:35:38,1637544938,0.000
2021-11-21 17:35:40,1637544940,0.000,2021-11-21 17:35:41,1637544941,0.000,2021-11-21 17:35:41,1637544941,0.000,2021-11-21 17:35:41,1637544941,0.000,2021-11-21 17:35:41,1637544941,0.000
2021-11-21 17:35:43,1637544943,0.000,2021-11-21 17:35:44,1637544944,0.000,2021-11-21 17:35:44,1637544944,0.000,2021-11-21 17:35:44,1637544944,0.000,2021-11-21 17:35:44,1637544944,0.000
2021-11-21 17:35:47,1637544947,0.000,2021-11-21 17:35:48,1637544948,0.000,2021-11-21 17:35:48,1637544948,0.000,2021-11-21 17:35:48,1637544948,0.000,2021-11-21 17:35:48,1637544948,0.000
2021-11-21 17:35:50,1637544950,0.000,2021-11-21 17:35:51,1637544951,0.000,2021-11-21 17:35:51,1637544951,0.000,2021-11-21 17:35:51,1637544951,0.000,2021-11-21 17:35:51,1637544951,0.000
